var1,var2,var3,var4,var5,prob_label
E,D,B,E,A,0.09
C,D,B,A,D,1
C,E,E,D,D,0.09
C,E,D,E,D,0.09
B,D,A,D,A,1
D,A,E,B,A,0.3
B,D,C,E,E,0.09
A,A,E,D,B,0.3
C,E,C,D,E,0.09
C,B,C,B,A,1
C,C,D,D,C,1
D,C,D,C,C,1
D,A,E,B,E,0.09
D,A,D,E,D,0.3
D,D,B,C,B,1
D,A,E,B,A,0.3
D,E,B,A,A,0.3
E,B,C,E,D,0.09
A,D,C,E,C,0.3
D,E,C,B,A,0.3
D,B,A,E,E,0.09
E,B,A,C,C,0.3
C,D,D,E,C,0.3
E,B,A,E,C,0.09
B,C,A,A,E,0.3
C,A,E,B,B,0.3
E,B,D,C,E,0.09
C,E,B,A,C,0.3
C,C,C,B,A,1
A,A,D,C,A,1
D,A,D,C,B,1
C,C,A,D,E,0.3
D,D,C,A,C,1
A,C,D,B,D,1
C,A,D,B,E,0.3
D,C,C,D,B,1
B,D,D,D,B,1
D,C,E,A,C,0.3
D,E,A,A,C,0.3
D,D,B,C,B,1
B,E,A,A,B,0.3
E,B,C,A,A,0.3
C,E,C,D,D,0.3
A,E,A,C,B,0.3
D,E,D,B,A,0.3
E,D,E,A,D,0.09
A,E,C,D,D,0.3
C,A,D,C,A,1
D,B,C,C,E,0.3
C,D,C,D,B,1
B,D,D,E,C,0.3
A,C,B,B,E,0.3
A,D,C,C,B,1
B,B,D,A,B,1
A,C,C,E,C,0.3
C,C,E,D,C,0.3
C,B,D,B,B,1
D,B,C,A,C,1
E,C,E,C,C,0.09
B,C,A,B,A,1
B,E,A,B,D,0.3
C,B,B,D,C,1
B,E,E,C,C,0.09
D,E,A,D,C,0.3
B,A,D,A,D,1
C,C,D,E,D,0.3
E,A,D,A,E,0.09
B,E,A,A,B,0.3
E,C,A,C,D,0.3
D,E,C,C,B,0.3
E,E,B,D,B,0.09
B,E,A,B,A,0.3
A,A,B,D,D,1
C,C,C,A,B,1
C,B,B,B,A,1
E,C,D,C,E,0.09
E,C,A,A,D,0.3
B,C,B,D,A,1
E,D,A,D,C,0.3
A,C,A,E,D,0.3
B,C,A,E,B,0.3
A,B,D,E,D,0.3
B,A,A,B,C,1
D,B,B,B,E,0.3
E,C,D,B,D,0.3
C,C,D,C,E,0.3
C,D,D,A,C,1
E,A,A,C,D,0.3
D,A,E,B,B,0.3
B,D,E,D,E,0.09
D,C,D,D,E,0.3
D,E,E,D,C,0.09
E,B,E,A,C,0.09
C,E,A,B,A,0.3
B,A,D,A,C,1
A,D,A,B,D,1
C,A,E,A,A,0.3
B,E,B,A,D,0.3
C,E,B,B,D,0.3
A,C,B,C,E,0.3
D,D,C,B,D,1
E,A,B,B,E,0.09
D,A,E,B,C,0.3
A,A,E,C,B,0.3
D,B,B,D,C,1
A,B,A,E,C,0.3
A,A,D,D,A,1
B,E,D,C,B,0.3
E,C,E,B,B,0.09
B,B,D,E,C,0.3
B,A,B,E,B,0.3
D,C,E,C,C,0.3
A,B,D,B,C,1
D,A,E,A,D,0.3
C,C,D,D,B,1
B,A,B,E,C,0.3
E,D,E,C,D,0.09
A,A,A,B,E,0.3
C,B,C,D,E,0.3
E,C,D,C,C,0.3
B,A,D,D,C,1
A,D,D,E,B,0.3
D,C,A,C,B,1
D,D,D,D,A,1
A,E,D,C,A,0.3
C,C,A,E,D,0.3
A,B,B,A,D,1
D,B,B,D,A,1
D,D,B,B,E,0.3
D,A,B,A,B,1
A,E,C,A,D,0.3
D,A,B,D,B,1
B,D,A,C,D,1
C,C,E,C,C,0.3
D,B,C,B,C,1
E,B,B,A,D,0.3
A,B,E,E,D,0.09
C,A,A,A,A,1
B,A,C,E,C,0.3
A,B,D,D,A,1
A,E,E,D,A,0.09
B,C,C,A,C,1
C,B,A,A,E,0.3
A,E,D,D,E,0.09
B,B,B,E,E,0.09
E,E,B,C,B,0.09
D,E,D,D,E,0.09
E,A,A,B,E,0.09
C,B,C,E,C,0.3
A,B,A,D,A,1
B,C,A,A,E,0.3
A,B,A,A,C,1
B,B,A,C,B,1
D,E,D,E,A,0.09
A,E,E,D,A,0.09
E,B,A,D,A,0.3
C,D,B,D,B,1
A,C,B,A,C,1
A,E,C,B,B,0.3
A,A,B,C,E,0.3
E,E,C,B,A,0.09
A,B,A,C,E,0.3
E,C,E,D,E,0.027
C,D,A,C,A,1
E,B,E,A,B,0.09
E,B,C,C,E,0.09
B,D,D,A,D,1
E,E,E,C,C,0.027
E,A,D,A,D,0.3
E,D,C,B,A,0.3
A,B,B,B,C,1
B,D,D,A,B,1
C,B,D,E,A,0.3
E,A,D,C,D,0.3
B,A,B,A,A,1
B,E,B,A,D,0.3
E,E,D,A,B,0.09
B,B,E,E,A,0.09
C,A,B,A,E,0.3
D,A,B,A,E,0.3
E,B,C,C,E,0.09
B,C,C,B,D,1
E,A,C,C,A,0.3
C,D,A,E,E,0.09
A,D,B,E,C,0.3
D,E,D,E,A,0.09
C,C,A,E,D,0.3
B,D,C,D,E,0.3
E,E,C,D,D,0.09
D,E,A,C,E,0.09
C,C,A,E,A,0.3
A,A,C,A,D,1
D,B,A,D,E,0.3
A,A,D,B,C,1
E,A,B,E,E,0.027
A,B,A,A,B,1
A,C,C,A,E,0.3
B,B,E,C,B,0.3
A,D,A,B,B,1
C,D,A,B,C,1
A,E,B,B,C,0.3
A,B,D,A,E,0.3
D,A,B,E,C,0.3
D,B,A,D,E,0.3
A,E,E,D,C,0.09
E,A,C,C,B,0.3
A,C,D,E,A,0.3
A,E,E,B,B,0.09
C,A,B,D,D,1
A,B,A,D,A,1
C,C,C,B,B,1
C,A,A,A,E,0.3
D,A,A,E,C,0.3
C,C,B,E,B,0.3
C,A,E,B,D,0.3
D,D,B,E,B,0.3
A,D,D,E,A,0.3
D,C,C,C,B,1
C,A,C,C,B,1
D,D,E,B,C,0.3
C,A,A,A,B,1
A,B,D,A,B,1
E,E,E,B,C,0.027
A,A,D,E,D,0.3
C,B,A,B,D,1
D,C,A,B,D,1
C,C,D,C,A,1
B,C,B,A,B,1
E,B,E,B,B,0.09
C,B,C,C,D,1
A,E,E,A,E,0.027
D,C,C,E,E,0.09
C,A,C,A,A,1
A,D,E,C,E,0.09
E,E,C,D,D,0.09
B,A,B,E,C,0.3
E,E,A,D,E,0.027
C,C,A,B,A,1
B,A,C,B,D,1
B,E,C,D,B,0.3
E,A,E,C,C,0.09
C,D,A,B,D,1
A,A,B,D,B,1
A,A,D,E,D,0.3
B,D,D,B,E,0.3
A,C,E,A,D,0.3
A,D,D,B,D,1
D,D,A,B,D,1
A,C,C,D,C,1
E,C,C,D,B,0.3
D,C,A,B,A,1
C,E,A,D,B,0.3
D,D,A,B,C,1
B,B,E,D,E,0.09
E,B,B,E,C,0.09
A,D,D,A,E,0.3
A,D,A,C,D,1
D,A,A,C,E,0.3
C,A,B,B,D,1
D,B,E,C,D,0.3
E,C,E,A,E,0.027
B,D,C,D,A,1
A,A,D,A,E,0.3
D,E,C,C,A,0.3
E,A,D,B,A,0.3
C,E,B,E,C,0.09
D,E,B,E,C,0.09
D,B,B,B,B,1
B,D,D,D,D,1
E,A,D,E,A,0.09
E,D,C,B,C,0.3
C,D,B,B,E,0.3
C,D,E,C,B,0.3
E,D,E,B,B,0.09
C,C,C,E,A,0.3
A,C,C,E,A,0.3
E,E,C,D,E,0.027
D,A,C,D,E,0.3
B,B,B,B,B,1
C,A,D,B,B,1
B,D,A,A,D,1
E,E,B,E,D,0.027
C,E,E,D,E,0.027
C,B,B,D,B,1
D,B,B,C,C,1
C,E,D,D,B,0.3
D,D,B,C,C,1
A,C,E,E,C,0.09
E,E,C,E,A,0.027
B,B,A,C,B,1
B,A,B,B,B,1
B,D,B,C,D,1
C,A,B,D,B,1
D,E,D,E,A,0.09
B,C,E,A,A,0.3
B,E,D,D,A,0.3
C,D,A,A,A,1
C,C,D,D,E,0.3
B,A,C,C,D,1
E,A,D,A,E,0.09
B,A,B,D,B,1
B,A,C,E,E,0.09
B,A,A,A,E,0.3
E,B,E,C,A,0.09
A,A,B,A,E,0.3
B,A,B,A,D,1
B,A,B,A,B,1
E,C,A,B,A,0.3
C,E,D,E,A,0.09
C,D,B,B,E,0.3
E,A,E,D,E,0.027
D,D,C,A,B,1
E,E,C,E,A,0.027
A,A,E,B,B,0.3
A,D,A,E,C,0.3
C,B,B,B,D,1
A,C,E,D,D,0.3
C,B,E,E,A,0.09
A,A,D,C,E,0.3
C,D,E,C,A,0.3
E,B,A,A,A,0.3
E,D,D,C,B,0.3
B,E,E,B,D,0.09
A,B,E,C,B,0.3
E,E,D,A,E,0.027
D,E,E,A,A,0.09
E,A,B,D,B,0.3
D,B,D,A,E,0.3
E,B,C,B,C,0.3
C,E,E,D,C,0.09
C,B,C,E,A,0.3
C,E,E,E,B,0.027
E,B,B,A,B,0.3
E,D,E,D,D,0.09
A,A,E,D,A,0.3
D,A,B,E,B,0.3
E,C,D,C,C,0.3
A,A,E,A,E,0.09
A,A,A,B,D,1
D,B,C,C,B,1
E,B,E,C,B,0.09
C,D,C,B,E,0.3
B,A,D,C,B,1
B,B,B,B,A,1
A,A,E,B,E,0.09
E,B,D,D,A,0.3
C,B,E,B,A,0.3
C,E,A,D,B,0.3
D,C,A,C,C,1
E,C,C,E,A,0.09
D,A,E,B,C,0.3
A,D,B,A,D,1
A,A,D,D,A,1
D,D,C,B,C,1
E,B,A,B,A,0.3
A,B,E,E,E,0.027
E,E,D,A,C,0.09
A,A,A,E,E,0.09
E,A,E,E,B,0.027
B,E,E,A,B,0.09
E,B,C,E,B,0.09
E,D,C,C,C,0.3
B,B,B,B,E,0.3
B,D,A,E,C,0.3
C,D,D,D,B,1
E,D,E,D,E,0.027
B,E,A,B,B,0.3
E,B,C,E,E,0.027
B,E,C,D,A,0.3
E,B,A,D,D,0.3
D,E,E,A,B,0.09
E,A,E,C,E,0.027
D,A,E,C,B,0.3
B,E,A,B,E,0.09
A,B,E,E,A,0.09
B,C,A,A,D,1
A,D,C,E,A,0.3
A,B,E,C,A,0.3
D,A,D,D,D,1
B,D,D,D,A,1
B,B,E,E,D,0.09
B,B,A,B,C,1
A,B,B,C,A,1
B,E,B,D,D,0.3
B,E,A,A,E,0.09
C,A,D,A,C,1
A,A,C,A,E,0.3
A,C,B,A,A,1
E,E,D,C,C,0.09
B,E,B,D,A,0.3
C,E,D,E,A,0.09
D,B,B,C,C,1
A,C,D,D,C,1
B,C,D,B,D,1
B,A,D,D,B,1
B,B,E,E,A,0.09
B,D,C,E,E,0.09
D,E,C,D,D,0.3
E,D,C,A,C,0.3
A,D,B,D,C,1
D,E,A,B,A,0.3
A,A,E,B,E,0.09
A,B,B,E,A,0.3
B,D,A,C,C,1
C,C,A,E,E,0.09
A,B,D,A,C,1
C,C,A,B,E,0.3
A,E,C,A,B,0.3
D,D,A,E,B,0.3
C,B,E,B,A,0.3
E,B,C,E,B,0.09
B,E,A,A,E,0.09
D,D,C,C,E,0.3
A,D,B,B,D,1
D,D,C,A,B,1
A,C,E,D,B,0.3
B,A,E,D,D,0.3
C,C,B,C,A,1
D,D,E,A,C,0.3
E,B,D,B,E,0.09
A,A,B,C,E,0.3
B,A,E,E,D,0.09
A,C,E,A,B,0.3
E,E,D,E,D,0.027
A,A,C,D,C,1
C,A,A,C,A,1
C,A,C,E,E,0.09
C,B,E,B,B,0.3
B,D,D,B,E,0.3
D,E,A,A,C,0.3
C,A,B,B,C,1
B,A,D,A,B,1
A,E,B,C,E,0.09
B,C,D,D,C,1
C,B,D,B,E,0.3
A,D,C,E,D,0.3
E,A,C,A,E,0.09
C,E,A,A,A,0.3
E,B,A,D,B,0.3
C,C,A,A,E,0.3
D,A,D,A,C,1
C,A,D,D,E,0.3
C,D,D,E,D,0.3
A,B,A,B,E,0.3
C,C,A,C,E,0.3
B,D,A,C,C,1
C,A,E,E,A,0.09
D,C,A,D,E,0.3
E,A,E,A,D,0.09
A,C,A,C,E,0.3
A,C,C,A,B,1
E,A,B,A,E,0.09
C,E,D,E,B,0.09
A,A,B,A,C,1
A,B,A,B,D,1
B,D,E,D,C,0.3
E,D,E,D,B,0.09
B,E,A,E,B,0.09
D,D,B,C,B,1
B,B,E,D,C,0.3
A,A,B,E,C,0.3
A,C,E,C,E,0.09
C,C,A,D,D,1
C,B,A,C,C,1
D,C,A,D,E,0.3
A,B,E,D,A,0.3
C,D,E,B,D,0.3
E,D,A,D,C,0.3
E,A,D,C,B,0.3
C,C,E,B,E,0.09
E,E,A,B,B,0.09
E,B,A,B,E,0.09
C,B,E,D,B,0.3
D,A,E,B,B,0.3
A,A,A,B,C,1
C,D,D,A,B,1
B,B,B,E,B,0.3
C,A,E,E,A,0.09
C,D,D,D,A,1
B,A,C,B,E,0.3
E,A,E,A,D,0.09
B,D,B,C,A,1
D,A,C,A,C,1
C,B,A,D,C,1
E,B,A,C,C,0.3
D,E,C,D,A,0.3
B,D,D,E,B,0.3
E,B,B,E,E,0.027
C,B,A,B,A,1
D,B,C,E,B,0.3
C,D,A,C,B,1
D,A,A,E,A,0.3
A,D,E,D,E,0.09
B,C,E,B,D,0.3
A,A,C,E,E,0.09
C,A,E,C,E,0.09
E,E,E,E,A,0.0081
E,D,B,C,C,0.3
E,D,D,C,B,0.3
D,B,B,A,A,1
D,B,E,C,D,0.3
D,C,E,E,A,0.09
A,D,C,D,C,1
C,E,A,D,E,0.09
D,B,B,B,C,1
E,E,E,E,C,0.0081
A,A,B,A,A,1
A,E,A,C,A,0.3
C,E,D,A,B,0.3
C,C,D,E,D,0.3
C,C,B,D,C,1
A,A,C,D,D,1
B,E,E,C,A,0.09
A,B,B,C,C,1
C,C,E,A,A,0.3
E,A,A,E,D,0.09
D,D,D,E,C,0.3
E,E,D,D,B,0.09
B,C,B,C,D,1
B,A,D,B,D,1
D,D,D,D,A,1
C,A,C,B,C,1
E,D,B,D,B,0.3
B,C,D,C,E,0.3
E,B,B,A,C,0.3
E,C,E,E,A,0.027
A,B,D,D,C,1
A,E,B,E,B,0.09
C,D,D,C,D,1
B,D,A,D,B,1
C,B,D,D,E,0.3
D,D,D,D,D,1
A,C,D,C,E,0.3
D,C,B,B,D,1
A,D,B,D,C,1
A,B,B,E,C,0.3
D,A,C,B,B,1
D,C,B,A,C,1
E,B,E,B,E,0.027
A,D,A,B,C,1
E,E,B,B,C,0.09
B,B,D,E,B,0.3
B,B,D,B,B,1
A,E,D,A,C,0.3
E,E,E,B,C,0.027
C,C,A,D,C,1
B,D,A,C,D,1
B,B,D,B,D,1
B,D,B,B,B,1
A,B,E,E,D,0.09
E,E,D,B,B,0.09
D,E,C,E,C,0.09
B,B,A,A,C,1
D,C,B,B,C,1
C,A,A,C,C,1
B,B,D,E,A,0.3
B,B,D,A,E,0.3
A,E,C,D,C,0.3
C,D,B,D,A,1
D,E,A,D,B,0.3
B,D,B,B,B,1
D,D,E,E,C,0.09
E,C,C,B,C,0.3
B,C,B,C,B,1
B,E,E,D,C,0.09
C,C,E,A,A,0.3
A,C,D,D,C,1
C,D,E,E,B,0.09
E,D,A,A,D,0.3
D,E,D,E,B,0.09
C,B,C,E,E,0.09
E,C,B,A,C,0.3
B,B,E,D,D,0.3
A,B,E,D,E,0.09
B,C,A,B,C,1
A,D,B,D,C,1
B,E,D,A,A,0.3
A,B,E,D,B,0.3
E,C,E,B,D,0.09
A,D,D,E,A,0.3
B,B,D,D,A,1
B,A,B,D,E,0.3
C,B,E,C,D,0.3
A,D,D,B,A,1
C,E,E,C,A,0.09
C,D,B,C,B,1
A,C,E,B,D,0.3
D,B,E,B,A,0.3
D,A,A,A,D,1
B,E,B,B,E,0.09
D,B,D,E,D,0.3
A,C,D,C,E,0.3
B,E,C,E,D,0.09
D,B,B,A,E,0.3
C,B,A,D,B,1
C,E,D,C,B,0.3
B,E,C,B,D,0.3
E,B,C,A,E,0.09
E,E,A,A,D,0.09
D,D,A,D,E,0.3
A,D,C,C,C,1
E,D,C,B,C,0.3
C,A,C,E,B,0.3
A,E,C,C,D,0.3
B,D,E,B,B,0.3
A,E,E,E,E,0.0081
A,E,A,A,D,0.3
A,E,E,E,C,0.027
A,B,E,B,B,0.3
A,D,A,E,D,0.3
B,A,C,C,C,1
B,D,A,A,E,0.3
C,B,D,D,B,1
D,B,D,A,D,1
B,D,D,B,A,1
C,D,D,C,B,1
B,C,D,E,D,0.3
D,E,D,C,D,0.3
C,C,D,D,E,0.3
A,E,E,A,A,0.09
D,C,B,E,B,0.3
D,C,B,C,E,0.3
B,C,E,E,D,0.09
A,D,A,A,D,1
E,C,E,C,B,0.09
C,A,B,C,C,1
D,E,B,A,A,0.3
A,C,E,B,C,0.3
A,A,E,D,E,0.09
B,A,A,C,C,1
A,B,A,E,B,0.3
A,A,A,E,D,0.3
A,D,A,D,C,1
E,E,E,B,B,0.027
C,A,C,D,D,1
B,C,E,C,A,0.3
A,B,C,A,C,1
E,A,D,B,A,0.3
A,B,D,D,C,1
E,C,D,D,B,0.3
D,C,C,E,D,0.3
C,E,D,E,C,0.09
B,D,D,A,E,0.3
D,A,E,D,D,0.3
D,E,E,B,C,0.09
A,C,D,B,A,1
B,B,A,A,B,1
E,D,D,B,E,0.09
A,C,E,A,E,0.09
A,C,B,C,E,0.3
B,D,B,E,E,0.09
A,A,B,B,A,1
C,D,C,A,B,1
B,C,C,E,C,0.3
E,D,B,D,E,0.09
D,A,A,E,E,0.09
A,E,E,B,D,0.09
B,C,B,A,B,1
B,B,B,C,B,1
C,B,B,A,B,1
B,A,C,D,C,1
D,D,D,D,D,1
A,D,B,E,D,0.3
D,E,A,C,C,0.3
E,E,A,A,C,0.09
D,B,A,D,C,1
B,D,B,A,D,1
C,D,A,C,C,1
C,A,A,D,A,1
A,C,E,B,E,0.09
B,E,A,E,A,0.09
E,D,B,B,C,0.3
E,B,E,C,D,0.09
D,B,D,D,E,0.3
C,B,E,E,D,0.09
B,B,A,E,A,0.3
B,B,B,C,A,1
C,E,D,E,A,0.09
B,C,B,B,C,1
B,B,E,E,B,0.09
D,B,D,D,B,1
C,A,B,A,D,1
B,A,E,C,C,0.3
E,A,A,E,E,0.027
C,A,B,C,A,1
C,B,A,D,D,1
B,C,A,B,A,1
B,B,D,E,D,0.3
C,C,E,A,D,0.3
C,D,E,E,C,0.09
D,B,D,B,A,1
C,E,E,E,B,0.027
D,D,A,D,C,1
B,E,D,A,C,0.3
C,D,D,B,B,1
E,B,A,D,C,0.3
A,A,D,C,C,1
A,B,D,B,B,1
C,E,B,A,B,0.3
E,C,A,A,E,0.09
A,D,E,B,E,0.09
D,A,E,E,D,0.09
E,E,C,C,D,0.09
B,A,A,B,C,1
A,D,E,B,B,0.3
E,B,E,E,D,0.027
E,E,A,D,A,0.09
E,B,B,E,A,0.09
A,D,D,A,C,1
D,C,E,B,B,0.3
A,B,C,B,A,1
A,C,C,A,C,1
D,E,A,A,C,0.3
B,D,C,A,E,0.3
C,C,B,B,E,0.3
E,D,E,E,D,0.027
B,A,E,C,D,0.3
D,E,E,A,A,0.09
D,E,D,D,E,0.09
D,E,A,A,C,0.3
E,D,E,A,E,0.027
B,E,D,E,B,0.09
B,B,D,A,D,1
C,B,D,E,B,0.3
D,D,A,D,A,1
A,B,A,B,D,1
A,E,E,A,B,0.09
D,C,D,E,E,0.09
B,E,A,E,C,0.09
C,D,E,C,A,0.3
E,E,A,D,A,0.09
A,B,D,D,C,1
A,D,E,C,E,0.09
B,C,C,A,E,0.3
B,A,B,E,B,0.3
B,E,C,E,A,0.09
B,D,B,C,B,1
D,D,D,A,D,1
A,A,B,B,D,1
D,E,B,B,B,0.3
D,B,C,E,D,0.3
B,E,E,A,C,0.09
C,A,D,B,D,1
C,B,A,D,B,1
A,A,C,B,B,1
D,E,C,B,E,0.09
C,B,B,C,B,1
E,C,E,D,C,0.09
C,D,E,B,E,0.09
B,B,A,C,D,1
B,A,A,A,B,1
C,C,E,D,B,0.3
E,D,E,B,C,0.09
D,D,E,E,B,0.09
C,A,E,D,D,0.3
E,A,B,E,B,0.09
B,A,A,A,E,0.3
D,B,D,C,A,1
C,E,B,E,A,0.09
C,B,E,B,C,0.3
D,C,C,B,E,0.3
C,A,A,A,A,1
B,B,A,B,C,1
A,D,E,A,C,0.3
A,B,B,E,B,0.3
A,C,D,D,E,0.3
D,C,B,D,E,0.3
E,C,E,E,E,0.0081
E,E,B,B,B,0.09
B,C,C,B,E,0.3
C,C,C,B,A,1
A,D,A,E,C,0.3
E,D,E,C,A,0.09
D,C,A,B,D,1
E,B,E,C,D,0.09
A,B,D,D,D,1
A,A,A,A,E,0.3
D,A,C,B,E,0.3
E,A,A,D,E,0.09
B,E,E,D,C,0.09
B,A,C,D,A,1
E,A,A,B,A,0.3
E,E,C,D,E,0.027
E,D,B,A,C,0.3
A,E,C,B,E,0.09
B,A,C,C,B,1
D,B,B,E,E,0.09
E,C,A,A,C,0.3
E,A,A,C,D,0.3
C,D,A,C,A,1
E,C,D,D,E,0.09
C,D,C,D,D,1
D,D,E,E,D,0.09
A,D,C,E,A,0.3
C,D,C,A,C,1
D,B,E,A,A,0.3
E,D,D,B,D,0.3
D,D,B,B,E,0.3
C,C,D,C,B,1
A,D,B,E,A,0.3
B,D,E,E,D,0.09
D,E,E,D,D,0.09
B,C,A,A,D,1
D,E,E,B,B,0.09
C,C,C,B,E,0.3
C,C,E,B,A,0.3
D,D,A,A,A,1
C,D,E,A,D,0.3
E,D,E,B,C,0.09
B,C,B,B,D,1
E,A,D,E,A,0.09
E,C,A,D,E,0.09
C,E,E,B,A,0.09
C,E,E,C,A,0.09
D,B,D,E,B,0.3
B,C,D,D,B,1
C,A,A,E,C,0.3
C,E,C,D,B,0.3
B,C,C,C,A,1
C,E,C,B,B,0.3
C,B,E,B,E,0.09
B,A,A,C,A,1
C,D,B,C,D,1
C,D,A,E,A,0.3
B,D,C,E,C,0.3
D,A,A,A,A,1
C,C,D,D,E,0.3
E,C,A,A,B,0.3
A,B,A,E,B,0.3
D,A,A,D,B,1
E,D,B,C,C,0.3
A,B,C,D,A,1
E,A,B,C,E,0.09
E,B,C,B,D,0.3
C,C,A,B,C,1
C,B,C,E,B,0.3
B,C,B,B,A,1
E,A,A,E,B,0.09
D,E,B,C,C,0.3
C,D,B,C,C,1
C,C,D,C,C,1
D,D,D,E,B,0.3
D,C,D,A,E,0.3
E,D,B,D,B,0.3
B,E,E,E,E,0.0081
C,D,C,E,E,0.09
A,C,A,B,D,1
C,A,E,B,C,0.3
D,E,A,A,A,0.3
C,A,E,A,D,0.3
D,C,A,C,E,0.3
D,B,B,D,E,0.3
B,A,B,D,E,0.3
B,E,A,C,B,0.3
E,C,C,D,C,0.3
E,A,B,D,E,0.09
A,D,A,B,D,1
A,B,E,A,E,0.09
A,A,A,E,B,0.3
D,E,C,E,C,0.09
C,C,B,B,B,1
D,C,B,E,D,0.3
C,E,A,E,C,0.09
C,A,A,E,A,0.3
A,C,D,B,B,1
A,C,C,E,C,0.3
C,D,E,D,A,0.3
A,D,C,E,E,0.09
C,C,E,A,A,0.3
D,C,C,B,C,1
C,D,B,E,C,0.3
B,E,D,E,C,0.09
B,B,D,E,C,0.3
E,B,D,E,D,0.09
E,C,A,A,E,0.09
C,C,E,E,D,0.09
B,E,B,B,A,0.3
C,C,A,D,B,1
B,C,B,A,C,1
A,D,E,A,C,0.3
A,D,C,D,E,0.3
E,C,A,E,C,0.09
C,A,D,A,C,1
C,B,C,C,C,1
D,E,A,A,D,0.3
C,E,A,D,C,0.3
D,D,D,E,E,0.09
C,A,D,E,D,0.3
A,C,B,C,B,1
D,C,E,E,E,0.027
B,D,E,D,D,0.3
C,E,D,D,C,0.3
D,D,C,D,B,1
B,B,B,B,E,0.3
C,E,A,E,A,0.09
A,C,A,D,E,0.3
B,D,A,B,A,1
C,B,C,C,B,1
C,E,A,D,D,0.3
D,C,C,D,D,1
A,A,B,B,A,1
D,B,E,B,E,0.09
B,C,D,D,D,1
A,B,D,C,E,0.3
E,A,B,B,B,0.3
A,C,E,A,B,0.3
C,E,C,A,C,0.3
E,E,C,D,B,0.09
D,B,D,E,E,0.09
A,C,E,B,A,0.3
E,C,D,E,C,0.09
A,A,D,D,D,1
E,D,E,A,D,0.09
E,A,C,D,B,0.3
E,E,D,D,B,0.09
C,B,A,C,D,1
A,E,E,C,B,0.09
D,E,B,A,C,0.3
D,C,B,C,D,1
C,B,B,A,A,1
A,A,D,C,D,1
D,E,A,B,A,0.3
D,D,A,E,E,0.09
B,E,E,D,C,0.09
A,C,E,A,E,0.09
D,E,B,E,A,0.09
D,C,E,D,B,0.3
D,D,A,C,C,1
E,E,C,C,B,0.09
A,D,C,D,C,1
A,C,A,E,D,0.3
A,A,B,B,C,1
E,E,E,E,A,0.0081
D,C,C,A,A,1
E,B,D,A,C,0.3
E,B,A,B,C,0.3
D,D,B,D,A,1
E,D,C,D,C,0.3
C,C,E,D,B,0.3
A,D,A,E,D,0.3
E,D,A,B,A,0.3
C,D,C,E,A,0.3
D,B,E,E,A,0.09
A,B,B,B,B,1
C,A,B,C,D,1
A,E,C,C,C,0.3
C,B,A,B,A,1
A,D,B,D,B,1
A,E,C,D,A,0.3
C,A,E,A,E,0.09
A,D,C,A,E,0.3
C,E,B,D,D,0.3
B,C,C,A,E,0.3
D,C,D,E,A,0.3
D,B,D,C,C,1
D,B,C,E,A,0.3
E,A,B,A,D,0.3
E,A,A,E,C,0.09
E,C,B,C,A,0.3
A,C,C,A,A,1
C,A,B,A,D,1
A,B,C,E,D,0.3
D,E,C,C,C,0.3
E,D,D,B,C,0.3
D,B,D,A,B,1
C,A,A,E,D,0.3
A,C,E,A,E,0.09
D,A,A,D,B,1
A,C,D,B,B,1
A,C,B,E,D,0.3
C,B,A,D,E,0.3
B,E,B,A,C,0.3
C,D,A,C,C,1
B,E,A,E,A,0.09
B,B,C,E,C,0.3
A,B,B,E,D,0.3
C,D,B,A,D,1
E,D,C,A,B,0.3
A,E,B,C,A,0.3
E,B,B,C,E,0.09
A,B,A,E,D,0.3
A,B,C,A,B,1
D,E,E,A,A,0.09
E,A,D,C,D,0.3
A,E,E,E,D,0.027
D,E,B,A,A,0.3
A,C,B,B,E,0.3
B,A,D,D,C,1
C,C,B,D,A,1
D,A,C,C,D,1
A,E,B,B,E,0.09
E,C,C,D,C,0.3
C,B,A,D,B,1
A,A,D,B,C,1
E,D,C,A,E,0.09
C,C,B,B,D,1
C,E,C,D,C,0.3
D,D,E,B,B,0.3
E,B,B,C,A,0.3
C,D,A,D,B,1
B,C,A,A,E,0.3
C,A,D,E,A,0.3
B,D,D,D,B,1
E,C,C,A,C,0.3
B,D,C,B,B,1
A,E,A,E,B,0.09
D,A,B,A,E,0.3
B,E,D,B,D,0.3
B,E,B,D,A,0.3
D,D,E,D,B,0.3
D,B,C,C,C,1
D,C,A,B,C,1
A,C,D,A,E,0.3
C,E,C,C,A,0.3
B,B,A,E,D,0.3
A,E,A,B,A,0.3
B,D,D,D,A,1
B,C,C,D,A,1
E,E,B,B,C,0.09
C,D,E,B,E,0.09
D,B,C,C,A,1
A,B,D,A,A,1
D,E,C,E,E,0.027
D,E,E,D,A,0.09
D,E,C,D,D,0.3
C,A,C,C,A,1
A,C,D,D,D,1
C,B,A,C,D,1
C,C,A,E,D,0.3
E,B,E,E,B,0.027
D,A,B,B,E,0.3
E,E,D,A,D,0.09
B,A,C,D,A,1
E,A,C,A,D,0.3
C,D,C,A,E,0.3
E,B,A,E,A,0.09
A,C,B,E,D,0.3
D,E,D,A,A,0.3
C,B,B,C,D,1
A,D,D,E,C,0.3
C,B,D,E,D,0.3
A,D,E,E,D,0.09
E,C,E,D,B,0.09
B,C,C,B,C,1
A,C,B,A,D,1
B,D,C,D,C,1
